CustomerID,OriginalCustomerID,FirstName,LastName,Gender,Region,SSN
1,C0001,Gregory,Miller,Male,Ohio,082573197
2,C0002,Marvin,Unknown,Male,California,309-6256-21
3,C0003,Gregory,Smith,Male,New York,407071725
4,C0004,Edward,Davis,Male,Ohio,948.18.5740
5,C0005,Reginald,Dawson,Male,Texas,975.72.3056
6,C0006,Virginia,Bryant,Female,Ohio,981/72/7452
7,C0007,Benjamin,Shepherd,Male,Ohio,048008736
8,C0008,Robert,Pierce,Male,New York,009/01/2352
9,C0009,Samuel,Mcconnell,Male,California,007-3486-87
10,C0010,Jason,Unknown,Male,New York,785/76/9341
11,C0011,Jason,Morales,Male,Unknown,325-2353-01
12,C0012,Charles,Unknown,Male,New York,239.14.0962
13,C0013,Brandon,Unknown,Male,Ohio,573-3595-11
14,C0014,Jeffery,Cabrera,Male,New York,705.13.1809
15,C0015,William,Gonzalez,Male,New York,058-13-1272
16,C0016,Joe,Barnett,Male,Ohio,995/87/4707
17,C0017,Angela,Cantrell,Female,Texas,648-61-0422
18,C0018,Mariah,Wilson,Female,New York,108/82/5602
19,C0019,Michael,Unknown,Male,New York,018-10-5442
20,C0020,Robert,Unknown,Male,New York,029-4166-39
21,C0021,Rachel,Unknown,Female,New York,453-6622-48
22,C0022,Timothy,Unknown,Male,Texas,239-01-2990
23,C0023,Grant,Bartlett,Male,Ohio,914-9819-50
24,C0024,Luis,Roberts,Male,New York,763990480
25,C0025,Jordan,Mercado,Male,Texas,765370466
26,C0026,Jesse,Wilkerson,Male,New York,929/20/0753
27,C0027,Brandon,Smith,Male,New York,614443050
28,C0028,William,Smith,Male,California,497/91/9481
29,C0029,Timothy,Unknown,Male,Ohio,916.67.4499
30,C0030,Desiree,Washington,Female,Ohio,408-46-8745
31,C0031,Steven,Morgan,Male,Ohio,701763121
32,C0032,Joshua,Carson,Male,New York,568-92-0245
33,C0033,Joshua,Robinson,Male,New York,047014271
34,C0034,Paula,Hanson,Female,Ohio,081/07/9840
35,C0035,Joshua,Sullivan,Male,Texas,904.58.8403
36,C0036,Lori,Long,Female,California,017-5322-19
37,C0037,Brett,Unknown,Male,Unknown,890898446
38,C0038,Jose,Griffin,Male,California,209/80/2253
39,C0039,John,Mendoza,Male,New York,490-4888-96
40,C0040,Yvette,Wood,Female,Ohio,367-78-2663
41,C0041,Michael,Stephens,Male,New York,936-93-1355
42,C0042,Steven,Farley,Male,Texas,184/60/5366
43,C0043,Rachel,Unknown,Female,New York,419/85/0542
44,C0044,James,Robbins,Male,New York,461-34-7072
45,C0045,Andrew,Hopkins,Male,New York,863-15-2583
46,C0046,Dennis,Unknown,Male,California,573/90/4617
47,C0047,Seth,Hess,Male,Texas,075643618
48,C0048,Frank,Ross,Male,Ohio,466.83.1539
49,C0049,Jeffrey,Unknown,Male,Texas,987/35/8591
50,C0050,Kimberly,Wright,Female,New York,556/57/7221
51,C0051,David,Unknown,Male,Unknown,709.24.5509
52,C0052,Todd,Kelley,Male,New York,111-35-6646
53,C0053,Ian,Schneider,Male,New York,174630010
54,C0054,Christopher,White,Male,California,356.84.9560
55,C0055,Jonathan,Thomas,Male,New York,699-0156-58
56,C0056,Sonia,Vaughn,Female,California,906-9403-74
57,C0057,Brian,Price,Male,Ohio,857/37/7811
58,C0058,Steven,Miller,Male,Texas,097-6290-75
59,C0059,Eric,Hoffman,Male,California,696/48/3718
60,C0060,Jonathan,Unknown,Male,New York,054.34.9385
61,C0061,Gary,Nunez,Male,New York,140/20/8506
62,C0062,Mark,Adams,Male,Texas,550-55-0046
63,C0063,Latoya,Unknown,Female,Ohio,575-57-9346
64,C0064,Jason,Unknown,Male,Unknown,051/16/0222
65,C0065,Anthony,Butler,Male,Ohio,816-77-4692
66,C0066,Thomas,Kelly,Male,California,951.13.3429
67,C0067,Eric,Morris,Male,New York,192-18-1825
68,C0068,John,Unknown,Male,Unknown,866-81-0493
69,C0069,David,Hardy,Male,California,133-1820-60
70,C0070,Kevin,Franklin,Male,New York,632496047
71,C0071,Charles,Warren,Male,Texas,515-65-1928
72,C0072,Eric,Mora,Male,California,458923106
73,C0073,Vincent,Unknown,Male,New York,129128820
74,C0074,Roberto,Unknown,Male,New York,363-76-4583
75,C0075,Troy,Garcia,Male,New York,977/03/9472
76,C0076,James,Clark,Male,Texas,430-92-2347
77,C0077,John,Johnson,Male,Unknown,747-8226-62
78,C0078,Caleb,Ramirez,Male,New York,301728783
79,C0079,Timothy,Unknown,Male,New York,410/56/1810
80,C0080,Ian,Fowler,Male,Unknown,558-15-0115
81,C0081,Ryan,Pearson,Male,California,674718631
82,C0082,Samuel,Lopez,Male,Ohio,945-93-6644
83,C0083,Antonio,Unknown,Male,Texas,510-56-7460
84,C0084,Michael,Brooks,Male,Ohio,119-91-7665
85,C0085,Lindsay,Roberts,Female,Ohio,815/63/1005
86,C0086,Robert,Unknown,Male,Ohio,094-07-1577
